ID,Name,Type,Continent,Superregion,Region,Area
50,Berlin,Land,Europe,Western Europe,North Germany,Mittelmark
51,Ruppin,Land,Europe,Western Europe,North Germany,Mittelmark
52,Magdeburg,Land,Europe,Western Europe,North Germany,Saxony-Anhalt
53,Lüneburg,Land,Europe,Western Europe,North Germany,Lower Saxony
54,Stade,Land,Europe,Western Europe,North Germany,Weser
55,Oldenburg,Land,Europe,Western Europe,North Germany,Weser
56,Osnabrück,Land,Europe,Western Europe,North Germany,North Westphalia
57,Brunswick,Land,Europe,Western Europe,North Germany,Braunschweig
58,Anhalt,Land,Europe,Western Europe,North Germany,Saxony-Anhalt
59,Wittenberg,Land,Europe,Western Europe,North Germany,Saxony
60,Bautzen,Land,Europe,Western Europe,North Germany,Lusatia
61,Dresden,Land,Europe,Western Europe,North Germany,Saxony
62,Leipzig,Land,Europe,Western Europe,North Germany,Saxony
63,Erfurt,Land,Europe,Western Europe,North Germany,Thuringia
64,Landshut,Land,Europe,Western Europe,South Germany,Lower Bavaria
65,München,Land,Europe,Western Europe,South Germany,Upper Bavaria
66,Bamberg,Land,Europe,Western Europe,South Germany,Upper Franconia
67,Nürnberg,Land,Europe,Western Europe,South Germany,Upper Franconia
68,Memmingen,Land,Europe,Western Europe,South Germany,East Swabia
69,Dortmund,Land,Europe,Western Europe,North Germany,North Westphalia
70,Stuttgart,Land,Europe,Western Europe,South Germany,West Swabia
71,Ansbach,Land,Europe,Western Europe,South Germany,Lower Franconia
72,Breisgau,Land,Europe,Western Europe,South Germany,Baden
73,Inntal,Land,Europe,Western Europe,South Germany,Tirol
74,Baden,Land,Europe,Western Europe,South Germany,Baden
75,Straßburg,Land,Europe,Western Europe,South Germany,Alsace
76,Salzburg,Land,Europe,Western Europe,South Germany,East Bavaria
77,Heidelberg,Land,Europe,Western Europe,South Germany,Palatinate
78,Mainz,Land,Europe,Western Europe,North Germany,Hesse
79,Würzburg,Land,Europe,Western Europe,South Germany,Lower Franconia
80,Trier,Land,Europe,Western Europe,North Germany,Lower Rhineland
81,Oberhessen,Land,Europe,Western Europe,North Germany,Hesse
82,Westfalen,Land,Europe,Western Europe,North Germany,South Westphalia
83,Nassau,Land,Europe,Western Europe,North Germany,North Rhine
84,Berg,Land,Europe,Western Europe,North Germany,North Rhine
85,Köln,Land,Europe,Western Europe,North Germany,North Rhine
86,Münster,Land,Europe,Western Europe,North Germany,North Westphalia
87,Calais,Land,Europe,Western Europe,France,Picardy
88,Artois,Land,Europe,Western Europe,France,Picardy
89,Picardie,Land,Europe,Western Europe,France,Picardy
90,Bruges,Land,Europe,Western Europe,Low Countries,Flanders
91,Hainaut,Land,Europe,Western Europe,Low Countries,Wallonia
92,Brussels,Land,Europe,Western Europe,Low Countries,South Brabant
93,Liège,Land,Europe,Western Europe,Low Countries,Wallonia
94,Luxemburg,Land,Europe,Western Europe,Low Countries,Wallonia
95,Breda,Land,Europe,Western Europe,Low Countries,North Brabant
96,Zeeland,Land,Europe,Western Europe,Low Countries,Holland
97,Amsterdam,Land,Europe,Western Europe,Low Countries,Holland
98,Utrecht,Land,Europe,Western Europe,Low Countries,Holland
99,Gelre,Land,Europe,Western Europe,Low Countries,Frisia
100,Friesland,Land,Europe,Western Europe,Low Countries,Frisia
101,Genoa,Land,Europe,Western Europe,Italy,Liguria
102,Nice,Land,Europe,Western Europe,Italy,Liguria
103,Turin,Land,Europe,Western Europe,Italy,Piedmont
104,Milan,Land,Europe,Western Europe,Italy,Lombardy
105,Parma,Land,Europe,Western Europe,Italy,Emilia-Romagna
106,Modena,Land,Europe,Western Europe,Italy,Emilia-Romagna
107,Brescia,Land,Europe,Western Europe,Italy,Po Valley
108,Verona,Land,Europe,Western Europe,Italy,Venetia
109,Mantua,Land,Europe,Western Europe,Italy,Po Valley
110,Trentino,Land,Europe,Western Europe,South Germany,Tirol
111,Friuli,Land,Europe,Western Europe,Italy,Venetia
112,Venezia,Land,Europe,Western Europe,Italy,Venetia
113,Ferrara,Land,Europe,Western Europe,Italy,Emilia-Romagna
114,Ravenna,Land,Europe,Western Europe,Italy,Emilia-Romagna
115,Pisa,Land,Europe,Western Europe,Italy,Tuscany
116,Firenze,Land,Europe,Western Europe,Italy,Tuscany
117,Siena,Land,Europe,Western Europe,Italy,Tuscany
118,Roma,Land,Europe,Western Europe,Italy,Lazio-Umbria
119,Ancona,Land,Europe,Western Europe,Italy,Marche-Abruzzo
120,Abruzzi,Land,Europe,Western Europe,Italy,Marche-Abruzzo
121,Napoli,Land,Europe,Western Europe,Italy,Campania
122,Salento,Land,Europe,Western Europe,Italy,Apulia
123,Calabria,Land,Europe,Western Europe,Italy,Calabria
124,Messina,Land,Europe,Western Europe,Italy,Eastern Sicily
125,Palermo,Land,Europe,Western Europe,Italy,Western Sicily
126,Malta,Land,Europe,Western Europe,Italy,Eastern Sicily
127,Sassari,Land,Europe,Western Europe,Italy,Western Mediterranean Islands
128,Unterkärnten,Land,Europe,Western Europe,South Germany,Inner Austria
129,Krain,Land,Europe,Western Europe,South Germany,Carniola
130,Istria,Land,Europe,Western Europe,South Germany,Carniola
131,Zagreb,Land,Europe,Eastern Europe,Balkans,Croatia
132,Steiermark,Land,Europe,Western Europe,South Germany,Inner Austria
133,Ob der Enns,Land,Europe,Western Europe,South Germany,Austria Proper
134,Wien,Land,Europe,Western Europe,South Germany,Austria Proper
135,Sopron,Land,Europe,Eastern Europe,Carpathia,Transdanubia
136,Split,Land,Europe,Eastern Europe,Balkans,Dalmatia
137,Ragusa,Land,Europe,Eastern Europe,Balkans,Dalmatia
138,Zeta,Land,Europe,Eastern Europe,Balkans,Rascia
139,Hum,Land,Europe,Eastern Europe,Balkans,Bosnia
140,Bosnia,Land,Europe,Eastern Europe,Balkans,Bosnia
141,Smederevo,Land,Europe,Eastern Europe,Balkans,Serbia
142,Corfu,Land,Europe,Eastern Europe,Balkans,Northern Greece
143,Vlorë,Land,Europe,Eastern Europe,Balkans,Albania
144,Epirus,Land,Europe,Eastern Europe,Balkans,Northern Greece
145,Morea,Land,Europe,Eastern Europe,Balkans,Morea
146,Athens,Land,Europe,Eastern Europe,Balkans,Morea
147,Thessaly,Land,Europe,Eastern Europe,Balkans,Northern Greece
148,Macedonia,Land,Europe,Eastern Europe,Balkans,Macedonia
149,Edirne,Land,Europe,Eastern Europe,Balkans,Thrace
150,Nikopol,Land,Europe,Eastern Europe,Balkans,Bulgaria
151,Constantinople,Land,Europe,Eastern Europe,Balkans,Thrace
152,Varasd,Land,Europe,Eastern Europe,Balkans,Slavonia
153,Pest,Land,Europe,Eastern Europe,Carpathia,Transdanubia
154,Hont,Land,Europe,Eastern Europe,Carpathia,Slovakia
155,Békés,Land,Europe,Eastern Europe,Carpathia,Alföld
156,Temes,Land,Europe,Eastern Europe,Carpathia,Southern Transylvania
157,Bihar,Land,Europe,Eastern Europe,Carpathia,Northern Transylvania
158,Maros,Land,Europe,Eastern Europe,Carpathia,Northern Transylvania
159,Silistria,Land,Europe,Eastern Europe,Balkans,Silistria
160,Oltenia,Land,Europe,Eastern Europe,Carpathia,Wallachia
161,Tîrgoviste,Land,Europe,Eastern Europe,Carpathia,Wallachia
162,Zemplén,Land,Europe,Eastern Europe,Carpathia,Slovakia
163,Crete,Land,Europe,Eastern Europe,Balkans,Morea
164,Naxos,Land,Europe,Levant,Anatolia,Aegean Archipelago
165,Bern,Land,Europe,Western Europe,South Germany,Romandie
166,Waldstätte,Land,Europe,Western Europe,South Germany,Switzerland
167,Caux,Land,Europe,Western Europe,France,Normandy
168,Caen,Land,Europe,Western Europe,France,Normandy
169,Armor,Land,Europe,Western Europe,France,Brittany
170,Finistère,Land,Europe,Western Europe,France,Brittany
171,Vannetais,Land,Europe,Western Europe,France,Brittany
172,Nantais,Land,Europe,Western Europe,France,Brittany
173,Labourd,Land,Europe,Western Europe,France,Gascony
174,Bordeaux,Land,Europe,Western Europe,France,Guyenne
175,Armagnac,Land,Europe,Western Europe,France,Gascony
176,Béarn,Land,Europe,Western Europe,France,Gascony
177,Maine,Land,Europe,Western Europe,France,Loire Valley
178,Anjou,Land,Europe,Western Europe,France,Loire Valley
179,Berry,Land,Europe,Western Europe,France,Orléanais
180,Haut-Poitou,Land,Europe,Western Europe,France,Poitou
181,Rethel,Land,Europe,Western Europe,France,Champagne
182,Valois,Land,Europe,Western Europe,France,Île-de-France
183,Paris,Land,Europe,Western Europe,France,Île-de-France
184,Orleanais,Land,Europe,Western Europe,France,Orléanais
185,Nemours,Land,Europe,Western Europe,France,Île-de-France
186,Reims,Land,Europe,Western Europe,France,Champagne
187,Barrois,Land,Europe,Western Europe,France,Lorraine
188,Metz,Land,Europe,Western Europe,France,Lorraine
189,Lothringen,Land,Europe,Western Europe,France,Lorraine
190,Bourbonnais,Land,Europe,Western Europe,France,Auvergne
191,Nivernais,Land,Europe,Western Europe,France,Western Burgundy
192,Dijonnais,Land,Europe,Western Europe,France,Eastern Burgundy
193,Franche-Comté,Land,Europe,Western Europe,France,Eastern Burgundy
194,Périgord,Land,Europe,Western Europe,France,Guyenne
195,Limousin,Land,Europe,Western Europe,France,Auvergne
196,Toulouse,Land,Europe,Western Europe,France,Languedoc
197,Roussillon,Land,Europe,Western Europe,Iberia,Catalonia
198,Rouergue,Land,Europe,Western Europe,France,Guyenne
199,Auvergne,Land,Europe,Western Europe,France,Auvergne
200,Montpellier,Land,Europe,Western Europe,France,Languedoc
201,Aix,Land,Europe,Western Europe,France,Provence
202,Avignon,Land,Europe,Western Europe,France,Provence
203,Lyonnais,Land,Europe,Western Europe,France,Savoy
204,Dauphiné,Land,Europe,Western Europe,France,Savoy
205,Chambery,Land,Europe,Western Europe,France,Savoy
206,Corunna,Land,Europe,Western Europe,Iberia,Galicia
207,Asturias,Land,Europe,Western Europe,Iberia,Asturias
208,León,Land,Europe,Western Europe,Iberia,Leon
209,Vizcaya,Land,Europe,Western Europe,Iberia,Vasconia
210,Navarra,Land,Europe,Western Europe,Iberia,Vasconia
211,Huesca,Land,Europe,Western Europe,Iberia,Aragon
212,Girona,Land,Europe,Western Europe,Iberia,Catalonia
213,Barcelona,Land,Europe,Western Europe,Iberia,Catalonia
214,Zaragoza,Land,Europe,Western Europe,Iberia,Aragon
215,Valladolid,Land,Europe,Western Europe,Iberia,Castille
216,Salamanca,Land,Europe,Western Europe,Iberia,Leon
217,Madrid,Land,Europe,Western Europe,Iberia,Castille
218,Badajoz,Land,Europe,Western Europe,Iberia,Extremadura
219,Toledo,Land,Europe,Western Europe,Iberia,Toledo
220,València,Land,Europe,Western Europe,Iberia,Valencia
221,Murcia,Land,Europe,Western Europe,Iberia,Toledo
222,Almería,Land,Europe,Western Europe,Iberia,Upper Andalucia
223,Granada,Land,Europe,Western Europe,Iberia,Upper Andalucia
224,Sevilla,Land,Europe,Western Europe,Iberia,Lower Andalucia
225,Córdoba,Land,Europe,Western Europe,Iberia,Lower Andalucia
226,Gibraltar,Land,Europe,Western Europe,Iberia,Upper Andalucia
227,Lisboa,Land,Europe,Western Europe,Iberia,Alentejo
228,Beira,Land,Europe,Western Europe,Iberia,Beiras
229,Beja,Land,Europe,Western Europe,Iberia,Alentejo
230,Algarve,Land,Europe,Western Europe,Iberia,Alentejo
231,Porto,Land,Europe,Western Europe,Iberia,Beiras
232,Bragança,Land,Europe,Western Europe,Iberia,Beiras
233,Cornwall,Land,Europe,Western Europe,Britain,Wessex
234,Hampshire,Land,Europe,Western Europe,Britain,Wessex
235,Kent,Land,Europe,Western Europe,Britain,London
236,London,Land,Europe,Western Europe,Britain,London
237,Oxford,Land,Europe,Western Europe,Britain,London
238,Essex,Land,Europe,Western Europe,Britain,East Anglia
239,Gloucester,Land,Europe,Western Europe,Britain,West Midlands
240,Shrewsbury,Land,Europe,Western Europe,Britain,West Midlands
241,Glamorgan,Land,Europe,Western Europe,Britain,Wales
242,Gwynedd,Land,Europe,Western Europe,Britain,Wales
243,Lincolnshire,Land,Europe,Western Europe,Britain,East Midlands
244,Lancashire,Land,Europe,Western Europe,Britain,Northern England
245,York,Land,Europe,Western Europe,Britain,Yorkshire
246,Northumberland,Land,Europe,Western Europe,Britain,Northern England
247,Cumbria,Land,Europe,Western Europe,Britain,Northern England
248,Lothian,Land,Europe,Western Europe,Britain,Lowlands
249,Ayrshire,Land,Europe,Western Europe,Britain,Lowlands
250,Perth,Land,Europe,Western Europe,Britain,Highlands
251,Aberdeen,Land,Europe,Western Europe,Britain,Lowlands
252,Inverness,Land,Europe,Western Europe,Britain,Highlands
253,Outer Hebrides,Land,Europe,Western Europe,Britain,The Isles
254,Poznan,Land,Europe,Eastern Europe,Poland,Wielkopolska
255,Kalisz,Land,Europe,Eastern Europe,Poland,Wielkopolska
256,Plock,Land,Europe,Eastern Europe,Poland,Mazovia
257,Warszawa,Land,Europe,Eastern Europe,Poland,Mazovia
258,Sieradz,Land,Europe,Eastern Europe,Poland,Central Poland
259,Sandomierz,Land,Europe,Eastern Europe,Poland,Sandomierz
260,Lublin,Land,Europe,Eastern Europe,Poland,Sandomierz
261,Halicz,Land,Europe,Eastern Europe,Poland,Red Ruthenia
262,Krakow,Land,Europe,Eastern Europe,Poland,Malopolska
263,Ratibor,Land,Europe,Eastern Europe,Poland,Silesia
264,Breslau,Land,Europe,Eastern Europe,Poland,Silesia
265,Brno,Land,Europe,Western Europe,North Germany,Moravia
266,Prague,Land,Europe,Western Europe,North Germany,Bohemia
267,Plzen,Land,Europe,Western Europe,North Germany,Erzgebirge
268,Suceava,Land,Europe,Eastern Europe,Carpathia,Moldavia
269,Podlasie,Land,Europe,Eastern Europe,Ruthenia,Podlasie
270,Trakai,Land,Europe,Eastern Europe,Baltic,Samogitia
271,Samogitia,Land,Europe,Eastern Europe,Baltic,Samogitia
272,Vilna,Land,Europe,Eastern Europe,Baltic,Aukstaitija
273,Latgalia,Land,Europe,Eastern Europe,Baltic,Livonia
274,Pskov,Land,Europe,Eastern Europe,Russia,Pskov
275,Polotsk,Land,Europe,Eastern Europe,Russia,Pskov
276,Minsk,Land,Europe,Eastern Europe,Ruthenia,Minsk
277,Brest,Land,Europe,Eastern Europe,Ruthenia,Podlasie
278,Pinsk,Land,Europe,Eastern Europe,Ruthenia,Pripyat
279,Volhynia,Land,Europe,Eastern Europe,Ruthenia,Volhynia
280,Kiev,Land,Europe,Eastern Europe,Ruthenia,West Dniepr
281,Podolia,Land,Europe,Eastern Europe,Ruthenia,Podolia
282,Yedisan,Land,Europe,Eastern Europe,Pontic Steppe,Yedisan
283,Zaporozhia,Land,Europe,Eastern Europe,Pontic Steppe,Zaporizhia
284,Crimea,Land,Europe,Eastern Europe,Pontic Steppe,Crimea
285,Caffa,Land,Europe,Eastern Europe,Pontic Steppe,Crimea
286,Azov,Land,Europe,Eastern Europe,Pontic Steppe,Azov
287,Kuban,Land,Europe,Eastern Europe,Pontic Steppe,Azov
288,Lower Don,Land,Europe,Eastern Europe,Pontic Steppe,Lower Don
289,Chernigov,Land,Europe,Eastern Europe,Ruthenia,Chernigov
290,Poltava,Land,Europe,Eastern Europe,Ruthenia,East Dniepr
291,Kharkov,Land,Europe,Eastern Europe,Ruthenia,Sloboda Ukraine
292,Mogilev,Land,Europe,Eastern Europe,Ruthenia,White Ruthenia
293,Smolensk,Land,Europe,Eastern Europe,Ruthenia,Smolensk
294,Tver,Land,Europe,Eastern Europe,Russia,Tver
295,Moskva,Land,Europe,Eastern Europe,Russia,Moscow
296,Kaluga,Land,Europe,Eastern Europe,Russia,Oka
297,Bryansk,Land,Europe,Eastern Europe,Ruthenia,Smolensk
298,Kursk,Land,Europe,Eastern Europe,Ruthenia,Sloboda Ukraine
299,Voronezh,Land,Europe,Eastern Europe,Ruthenia,Sloboda Ukraine
300,Tula,Land,Europe,Eastern Europe,Russia,Oka
301,Ryazan,Land,Europe,Eastern Europe,Russia,Ryazan
302,Tambov,Land,Europe,Eastern Europe,Russia,Tambov
303,Saratov,Land,Europe,Eastern Europe,Ural,Saratov
304,Penza,Land,Europe,Eastern Europe,Russia,Tambov
305,Perm,Land,Europe,Eastern Europe,Ural,Kama
306,Nizhny Novgorod,Land,Europe,Eastern Europe,Ural,Galich
307,Vladimir,Land,Europe,Eastern Europe,Russia,Vladimir
308,Yaroslavl,Land,Europe,Eastern Europe,Russia,Yaroslavl
309,Olonets,Land,Europe,Eastern Europe,Russia,North Karelia
310,Novgorod,Land,Europe,Eastern Europe,Russia,Novgorod
311,Kholm,Land,Europe,Eastern Europe,Russia,Novgorod
312,Beloozero,Land,Europe,Eastern Europe,Russia,Beloozero
313,Soroka,Land,Europe,Eastern Europe,Russia,Pomorye
314,Vologda,Land,Europe,Eastern Europe,Russia,Vologda
315,Finnmark,Land,Europe,Western Europe,Scandinavia,Laponia
316,Kocaeli,Land,Europe,Levant,Anatolia,Hüdavendigar
317,Hüdavendigar,Land,Europe,Levant,Anatolia,Hüdavendigar
318,Sugla,Land,Europe,Levant,Anatolia,Aydin
319,Mentese,Land,Europe,Levant,Anatolia,Aydin
320,Rhodes,Land,Europe,Levant,Anatolia,Aegean Archipelago
321,Cyprus,Land,Europe,Levant,Anatolia,Çukurova
322,Kütahya,Land,Europe,Levant,Anatolia,Germiyan
323,Konya,Land,Europe,Levant,Anatolia,Karaman
324,Karaman,Land,Europe,Levant,Anatolia,Karaman
325,Kastamonu,Land,Europe,Levant,Anatolia,Karadeniz
326,Ankara,Land,Europe,Levant,Anatolia,Ankara
327,Adana,Land,Europe,Levant,Anatolia,Çukurova
328,Sinop,Land,Europe,Levant,Anatolia,Karadeniz
329,Sivas,Land,Europe,Levant,Anatolia,Rum
330,Trebizond,Land,Europe,Levant,Anatolia,Erzurum
331,Erzurum,Land,Europe,Levant,Anatolia,Erzurum
332,Marash,Land,Europe,Levant,Anatolia,Dulkadir
333,Majorca,Land,Europe,Western Europe,Iberia,Baleares
334,Tangiers,Land,Africa,Northern Africa,Maghreb,North Morocco
335,Melilla,Land,Africa,Northern Africa,Maghreb,North Morocco
336,Tlemcen,Land,Africa,Northern Africa,Maghreb,Algiers
337,Oran,Land,Africa,Northern Africa,Maghreb,Barbary Coast
338,Mitidja,Land,Africa,Northern Africa,Maghreb,Barbary Coast
339,Kabylia,Land,Africa,Northern Africa,Maghreb,Kabylia
340,Constantine,Land,Africa,Northern Africa,Maghreb,Kabylia
341,Tunis,Land,Africa,Northern Africa,Maghreb,Tunisia
342,Gharb,Land,Africa,Northern Africa,Maghreb,Gharb
343,Fez,Land,Africa,Northern Africa,Maghreb,Central Morocco
344,Marrakech,Land,Africa,Northern Africa,Maghreb,Central Morocco
345,Abda,Land,Africa,Northern Africa,Maghreb,Gharb
346,Tafilalt,Land,Africa,Northern Africa,Maghreb,Tafilalt
347,Ifni,Land,Africa,Northern Africa,Maghreb,Southern Morocco
348,Sus,Land,Africa,Northern Africa,Maghreb,Sus
349,Figuig,Land,Africa,Northern Africa,Maghreb,Tafilalt
350,Laghouat,Land,Africa,Northern Africa,Maghreb,Ouled Nail
351,Biskra,Land,Africa,Northern Africa,Maghreb,Ouled Nail
352,Gafsa,Land,Africa,Northern Africa,Maghreb,North Sahara
353,Tataouine,Land,Africa,Northern Africa,Maghreb,Djerba
354,Tripoli,Land,Africa,Northern Africa,Maghreb,Tripolitania
355,Sirt,Land,Africa,Northern Africa,Maghreb,Tripolitania
356,Benghazi,Land,Africa,Levant,Egypt,Cyrenaica
357,Darnah,Land,Africa,Levant,Egypt,Cyrenaica
358,Alexandria,Land,Africa,Levant,Egypt,Delta
359,Fayyum,Land,Africa,Levant,Egypt,Vostani
360,Qus,Land,Africa,Levant,Egypt,Said
361,Cairo,Land,Africa,Levant,Egypt,Bahari
362,Rosetta,Land,Africa,Levant,Egypt,Delta
363,Damietta,Land,Africa,Levant,Egypt,Delta
364,Gaza,Land,Asia,Levant,Mashriq,Palestine
365,Sinai,Land,Africa,Levant,Egypt,Red Sea Hills
366,Gran Canaria,Land,Europe,Northern Africa,Maghreb,Macaronesia
367,The Azores,Land,Europe,Northern Africa,Maghreb,Macaronesia
368,Madeira,Land,Europe,Northern Africa,Maghreb,Macaronesia
369,Orkney,Land,Europe,Western Europe,Britain,Highlands
370,Reykjavik,Land,Europe,Western Europe,Scandinavia,North Atlantic Islands
371,Akureyri,Land,Europe,Western Europe,Scandinavia,North Atlantic Islands
372,Tyrone,Land,Europe,Western Europe,Britain,Ulster
373,Pale,Land,Europe,Western Europe,Britain,Leinster
374,Leinster,Land,Europe,Western Europe,Britain,Leinster
375,Limerick,Land,Europe,Western Europe,Britain,Connacht
376,Connaught,Land,Europe,Western Europe,Britain,Connacht
377,Aleppo,Land,Asia,Levant,Mashriq,Aleppo
378,Tarabulus,Land,Asia,Levant,Mashriq,Syria
379,Jerusalem,Land,Asia,Levant,Mashriq,Palestine
380,Al Karak,Land,Asia,Levant,Mashriq,Transjordan
381,Ajlun,Land,Asia,Levant,Mashriq,Transjordan
382,Damascus,Land,Asia,Levant,Mashriq,Syria
383,Tabuk,Land,Asia,Levant,Arabia,Tabuk
384,Medina,Land,Asia,Levant,Arabia,Medina
385,Mecca,Land,Asia,Levant,Arabia,Mecca
386,Bishah,Land,Asia,Levant,Arabia,Asir
387,Mokha,Land,Asia,Levant,Arabia,Tihama al-Yemen
388,Aden,Land,Asia,Levant,Arabia,Lower Yemen
389,Mukalla,Land,Asia,Levant,Arabia,Hadramut
390,Sana'a,Land,Asia,Levant,Arabia,Upper Yemen
391,Najran,Land,Asia,Levant,Arabia,Asir
392,Al-Arid,Land,Asia,Levant,Arabia,al-Qasim
393,Jabal Shammar,Land,Asia,Levant,Arabia,An Nafud
394,Al-Qatif,Land,Asia,Levant,Arabia,Bahrain
395,Qatar,Land,Asia,Levant,Arabia,Bahrain
396,Bahrain,Land,Asia,Levant,Arabia,Bahrain
397,Bani Yas,Land,Asia,Levant,Arabia,Pirate Coast
398,Qawasim,Land,Asia,Levant,Arabia,Pirate Coast
399,Batinah,Land,Asia,Levant,Arabia,Muscat
400,Muscat,Land,Asia,Levant,Arabia,Muscat
401,Dhofar,Land,Asia,Levant,Arabia,Dhofar
402,Qishn,Land,Asia,Levant,Arabia,Mahra
403,Nizwa,Land,Asia,Levant,Arabia,Oman
404,Liwa,Land,Asia,Levant,Arabia,Pirate Coast
405,Tadmor,Land,Asia,Levant,Mashriq,Syrian Desert
406,Haditha,Land,Asia,Levant,Mashriq,Iraq Arabi
407,Ar Raqqa,Land,Asia,Levant,Mashriq,Al Jazira
408,Basra,Land,Asia,Levant,Mashriq,Basra
409,Karbala,Land,Asia,Levant,Mashriq,Iraq Arabi
410,Baghdad,Land,Asia,Levant,Mashriq,Iraq Arabi
411,Mosul,Land,Asia,Levant,Mashriq,Al Jazira
412,Ahvaz,Land,Asia,Persia,Persia,Khuzestan
413,Khorramabad,Land,Asia,Persia,Persia,Luristan
414,Hamadan,Land,Asia,Persia,Persia,Luristan
415,Kirkuk,Land,Asia,Persia,Persia,Shahrizor
416,Tabriz,Land,Asia,Persia,Persia,Tabriz
417,Lahijan,Land,Asia,Persia,Persia,Tabarestan
418,Diyarbakir,Land,Asia,Levant,Anatolia,Kurdistan
419,Yerevan,Land,Asia,Persia,Caucasia,Armenia
420,Ganja,Land,Asia,Persia,Caucasia,Armenia
421,Shirvan,Land,Asia,Persia,Caucasia,Shirvan
422,Imereti,Land,Europe,Persia,Caucasia,Imereti
423,Tbilisi,Land,Europe,Persia,Caucasia,Kartli-Kakheti
424,Ardabil,Land,Asia,Persia,Caucasia,Shirvan
425,Dagestan,Land,Europe,Persia,Caucasia,Dagestan
426,Amol,Land,Asia,Persia,Persia,Tabarestan
427,Qumis,Land,Asia,Persia,Persia,Iraq-e-Ajam
428,Teheran,Land,Asia,Persia,Persia,Iraq-e-Ajam
429,Isfahan,Land,Asia,Persia,Persia,Isfahan
430,Dashtistan,Land,Asia,Persia,Persia,Gulf Coast
431,Mogostan,Land,Asia,Persia,Persia,Mogostan
432,Kerman,Land,Asia,Persia,Persia,Kerman
433,Yazd,Land,Asia,Persia,Persia,Isfahan
434,Quhistan,Land,Asia,Persia,Khorasan,Makran
435,Zaranj,Land,Asia,Persia,Khorasan,Sistan
436,Birjand,Land,Asia,Persia,Khorasan,Birjand
437,Kopet Dag,Land,Asia,Tartary,Central Asia,Transcaspia
438,Karakum,Land,Asia,Tartary,Central Asia,Transcaspia
439,Mangyshlak,Land,Asia,Tartary,Central Asia,Transcaspia
